Inešu pagasts	Ineši	Ineši
Inčukalna pagasts	Inčukalns	Inčukalns
Ipiķu pagasts	Ipiķi	Ipiķi
Irlavas pagasts	Irlava	Irlava
Iršu pagasts	Irši	Irši (ciems)
Isnaudas pagasts	Martiši	Martiši
Istras pagasts	Vecslabada	Vecslabada
Izvaltas pagasts	Izvalta	Izvalta
Jaunalūksnes pagasts	Kolberģis	Kolberģis
Jaunannas pagasts	Jaunanna	Jaunanna
Jaunauces pagasts	Jaunauce	Jaunauce
Jaunbērzes pagasts	Jaunbērze	Jaunbērze
Jaungulbenes pagasts	Gulbītis	Gulbītis
Jaunjelgavas pagasts	Jaunjelgava	Jaunjelgava
Jaunlaicenes pagasts	Jaunlaicene	Jaunlaicene
Jaunlutriņu pagasts	Jaunlutriņi	Jaunlutriņi
Jaunpiebalgas pagasts	Jaunpiebalga	Jaunpiebalga
Jaunpils pagasts	Jaunpils	Jaunpils
Jaunsvirlaukas pagasts	Staļģene	Staļģene
Jaunsātu pagasts	Abavnieki	Abavnieki
Jersikas pagasts	Upenieki	Upenieki (Jersikas pagasts)
Jeru pagasts	Endzele	Endzele
Jumpravas pagasts	Jumprava	Jumprava (Jumpravas pagasts)
Jumurdas pagasts	Jumurda	Jumurda
Jērcēnu pagasts	Jērcēni	Jērcēni
Jūrkalnes pagasts	Jūrkalne	Jūrkalne
Kabiles pagasts	Kabile	Kabile
Kaives pagasts	Kaive	Kaive (Kaives pagasts)
Kalkūnes pagasts	Kalkūni	Kalkūni
Kalna pagasts	Vidsala	Vidsala
Kalncempju pagasts	Kalncempji	Kalncempji
Kalnciema pagasts	Kalnciems	Kalnciems
Kalniešu pagasts	Kalnieši	Kalnieši
Kalsnavas pagasts	Jaunkalsnava	Jaunkalsnava
Kalupes pagasts	Kalupe	Kalupe
Kalvenes pagasts	Kalvene	Kalvene
Kalētu pagasts	Kalēti	Kalēti
Kandavas pagasts	Kandava	Kandava
Kantinieku pagasts	Liuža	Liuža
Kaplavas pagasts	Kaplava	Kaplava (Kaplavas pagasts)
Kastuļinas pagasts	Priežmale	Priežmale
Katvaru pagasts	Pociems	Pociems
Kauguru pagasts	Mūrmuiža	Mūrmuiža
Kaunatas pagasts	Kaunata	Kaunata
Kazdangas pagasts	Kazdanga	Kazdanga
Klintaines pagasts	Stukmaņi	Stukmaņi
Kocēnu pagasts	Kocēni	Kocēni
Kokneses pagasts	Koknese	Koknese
Kolkas pagasts	Kolka	Kolka
Kombuļu pagasts	Kombuļi	Kombuļi
Konstantinovas pagasts	Konstantinova	Konstantinova
Krapes pagasts	Krape	Krape
Krimuldas pagasts	Ragana	Ragana (ciems)
Krimūnu pagasts	Krimūnas	Krimūnas
Krišjāņu pagasts	Krišjāņi	Krišjāņi
Krustpils pagasts	Spuņģēni	Spuņģēni
Krāslavas pagasts	Ezerkalns	Ezerkalns (Krāslavas pagasts)
Kubulu pagasts	Kurna	Kurna
Kupravas pagasts	Kuprava	Kuprava
Kurmenes pagasts	Kurmene	Kurmene
Kurmāles pagasts	Vilgāle	Vilgāle
Kursīšu pagasts	Kursīši	Kursīši
Kārķu pagasts	Kārķi	Kārķi
Kūku pagasts	Zīlāni	Zīlāni
Laidu pagasts	Laidi	Laidi
Laidzes pagasts	Laidze	Laidze
Lapmežciema pagasts	Lapmežciems	Lapmežciems
Lauberes pagasts	Laubere	Laubere
Laucesas pagasts	Mirnijs	Mirnijs
Laucienes pagasts	Lauciene	Lauciene
Lauderu pagasts	Lauderi	Lauderi
Launkalnes pagasts	Launkalne	Launkalne
Lazdonas pagasts	Lazdona	Lazdona
Lazdukalna pagasts	Benislava	Benislava
Lazdulejas pagasts	Egļuciems	Egļuciems (Lazdulejas pagasts)
Lažas pagasts	Apriķi	Apriķi
Leimaņu pagasts	Mežgale	Mežgale
Lejasciema pagasts	Lejasciems	Lejasciems
Lendžu pagasts	Lendži	Lendži
Lestenes pagasts	Lestene	Lestene
Lielauces pagasts	Lielauce	Lielauce
Lielplatones pagasts	Sidrabe	Sidrabe
Lielvārdes pagasts	Lielvārde	Lielvārde
Liepas pagasts	Liepa	Liepa (Liepas pagasts)
Liepnas pagasts	Liepna	Liepna
Liepupes pagasts	Mustkalni	Mustkalni
Liezēres pagasts	Liezēre	Liezēre
Limbažu pagasts	Limbaži	Limbaži
Litenes pagasts	Litene	Litene
Lizuma pagasts	Lizums	Lizums
Lodes pagasts	Lode	Lode (Lodes pagasts)
Lubes pagasts	Anuži	Anuži
Lutriņu pagasts	Lutriņi	Lutriņi
Lēdmanes pagasts	Lēdmane	Lēdmane
Lēdurgas pagasts	Lēdurga	Lēdurga
Lībagu pagasts	Mundigciems	Mundigciems
Līdumnieku pagasts	Līdumnieki	Līdumnieki
Līgatnes pagasts	Augšlīgatne	Augšlīgatne
Līgo pagasts	Līgo	Līgo (Līgo pagasts)
Līksnas pagasts	Līksna	Līksna
Līvbērzes pagasts	Līvbērze	Līvbērze
Lūznavas pagasts	Lūznava	Lūznava
Madlienas pagasts	Madliena	Madliena
Malienas pagasts	Brenci	Brenci
Malnavas pagasts	Malnava	Malnava
Maltas pagasts	Malta	Malta (Maltas pagasts)
Matkules pagasts	Matkule	Matkule
Matīšu pagasts	Matīši	Matīši
Mazozolu pagasts	Līčupe	Līčupe (ciems)
Mazsalacas pagasts	Mazsalaca	Mazsalaca
Mazzalves pagasts	Ērberģe	Ērberģe
Maļinovas pagasts	Maļinova	Maļinova
Medumu pagasts	Medumi	Medumi
Medzes pagasts	Kapsēde	Kapsēde
Medņevas pagasts	Semanova	Semenova
Meņģeles pagasts	Meņģele	Meņģele
Mežotnes pagasts	Mežotne	Mežotne
Mežvidu pagasts	Mežvidi	Mežvidi (Mežvidu pagasts)
Mežāres pagasts	Mežāre	Mežāre
Mores pagasts	More	More
Murmastienes pagasts	Murmastiene	Murmastiene
Mākoņkalna pagasts	Lipuški	Lipuški
Mālupes pagasts	Mālupe	Mālupe (ciems)
Mārcienas pagasts	Mārciena	Mārciena
Mārkalnes pagasts	Mārkalne	Mārkalne
Mārsnēnu pagasts	Mārsnēni	Mārsnēni
Mērdzenes pagasts	Mērdzene	Mērdzene
Mētrienas pagasts	Mētriena	Mētriena
Nagļu pagasts	Nagļi	Nagļi
Naudītes pagasts	Naudīte	Naudīte
Naujenes pagasts	Naujene	Naujene
Naukšēnu pagasts	Naukšēni	Naukšēni
Nautrēnu pagasts	Rogovka	Rogovka
Neretas pagasts	Nereta	Nereta
Nirzas pagasts	Nirza	Nirza
Novadnieku pagasts	Mežvidi	Mežvidi (Novadnieku pagasts)
Nīcas pagasts	Nīca	Nīca
Nīcgales pagasts	Nīcgale	Nīcgale
Nīgrandes pagasts	Nīgrande	Nīgrande
Nīkrāces pagasts	Dzelda	Dzelda
Nītaures pagasts	Nītaure	Nītaure
Ogresgala pagasts	Ogresgals	Ogresgals
Olaines pagasts	Jaunolaine	Jaunolaine
Otaņķu pagasts	Rude	Rude (Otaņķu pagasts)
Ozolaines pagasts	Bekši	Bekši
Ozolmuižas pagasts	Ozolmuiža	Ozolmuiža
Ozolnieku pagasts	Ozolnieki	Ozolnieki
Ošupes pagasts	Degumnieki	Degumnieki
Padures pagasts	Deksne	Deksne
Palsmanes pagasts	Palsmane	Palsmane
Pampāļu pagasts	Pampāļi	Pampāļi
Pasienes pagasts	Pasiene	Pasiene
Pededzes pagasts	Pededze	Pededze (ciems)
Pelču pagasts	Pelči	Pelči
Pelēču pagasts	Pelēči	Pelēči
Penkules pagasts	Penkule	Penkule
Piedrujas pagasts	Piedruja	Piedruja
Pildas pagasts	Pilda	Pilda
Pilskalnes pagasts	Pilskalne	Pilskalne (Ilūkstes novads)
Pilskalnes pagasts	Pilskalne	Pilskalne (Neretas novads)
Piltenes pagasts	Piltene	Piltene
Platones pagasts	Platone	Platone
Plāņu pagasts	Plāņi	Plāņi
Popes pagasts	Pope	Pope
Praulienas pagasts	Prauliena	Prauliena
Preiļu pagasts	Līči	Līči (Preiļu pagasts)
Priekules pagasts	Priekule	Priekule
Priekuļu pagasts	Priekuļi	Priekuļi
Prodes pagasts	Subate	Subate
Pureņu pagasts	Kivdolova	Kivdolova
Puzes pagasts	Blāzma	Blāzma (Puzes pagasts)
Pušas pagasts	Puša	Puša
Pušmucovas pagasts	Pušmucova	Pušmucova
Pāles pagasts	Pāle	Pāle
Pūres pagasts	Pūre	Pūre
Raiskuma pagasts	Raiskums	Raiskums
Ramatas pagasts	Ramata	Ramata
Rankas pagasts	Ranka	Ranka
Raunas pagasts	Rauna	Rauna
Raņķu pagasts	Raņķi	Raņķi
Rembates pagasts	Rembate	Rembate
Remtes pagasts	Remte	Remte
Rencēnu pagasts	Rencēni	Rencēni
Rendas pagasts	Renda	Renda
Riebiņu pagasts	Riebiņi	Riebiņi
Rikavas pagasts	Rikava	Rikava
Rites pagasts	Cīruļi	Cīruļi (Rites pagasts)
Robežnieku pagasts	Robežnieki	Robežnieki
Rožkalnu pagasts	Rimicāni	Rimicāni
Rožupes pagasts	Rožupe	Rožupe
Rubas pagasts	Ruba	Ruba
Rubenes pagasts	Rubeņi	Rubeņi (Rubenes pagasts)
Rucavas pagasts	Rucava	Rucava
Rudbāržu pagasts	Rudbārži	Rudbārži
Rudzātu pagasts	Rudzāti	Rudzāti
Rugāju pagasts	Rugāji	Rugāji
Rumbas pagasts	Mežvalde	Mežvalde
Rundāles pagasts	Pilsrundāle	Pilsrundāle
Rundēnu pagasts	Rundēni	Rundēni
Rušonas pagasts	Kastīre	Kastīre
Sakas pagasts	Saka	Saka
Sakstagala pagasts	Sakstagals	Sakstagals
Salacgrīvas pagasts	Salacgrīva	Salacgrīva
Salas pagasts	Sala	Sala (Salas pagasts)
Salas pagasts	Spuņciems	Spuņciems
Saldus pagasts	Druva	Druva
Salgales pagasts	Emburga	Emburga (Salgales pagasts)
Salienas pagasts	Saliena	Saliena
Salnavas pagasts	Salnava	Salnava
Sarkaņu pagasts	Biksēre	Biksēre
Saukas pagasts	Lone	Lone
Saulkrastu pagasts	Saulkrasti	Saulkrasti
Saunas pagasts	Prīkuļi	Prīkuļi
Sausnējas pagasts	Sidrabiņi	Sidrabiņi
Seces pagasts	Sece	Sece
Sesavas pagasts	Sesava	Sesava
Siguldas pagasts	Peltes	Peltes
Silajāņu pagasts	Silajāņi	Silajāņi
Silmalas pagasts	Gornica	Gornica
Skaistas pagasts	Skaista	Skaista
Skaistkalnes pagasts	Skaistkalne	Skaistkalne
Skaņkalnes pagasts	Mazsalaca	Mazsalaca
Skrudalienas pagasts	Silene	Silene (Skrudalienas pagasts)
Skrundas pagasts	Skrunda	Skrunda
Skujenes pagasts	Skujene	Skujene
Skultes pagasts	Mandegas	Mandegas
Slampes pagasts	Slampe	Slampe
Smiltenes pagasts	Kalnamuiža	Kalnamuiža (Smiltenes pagasts)
Smārdes pagasts	Smārde	Smārde
Snēpeles pagasts	Snēpele	Snēpele
Sokolku pagasts	Strupļi	Strupļi
Stabulnieku pagasts	Stabulnieki	Stabulnieki
Staburaga pagasts	Staburags	Staburags (ciems)
Stalbes pagasts	Stalbe	Stalbe
Stelpes pagasts	Stelpe	Stelpe
Stoļerovas pagasts	Stoļerova	Stoļerova
